                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.62439,                 0.4165,                0.94603,                0.93148,                0.92212,                0.95403,                0.82582,                0.56692,                0.37353,                0.94713,               0.006436,               0.006436,               0.006436
                     38,                0.61847,                0.40934,                0.94395,                0.93094,                 0.9214,                0.95668,                0.83103,                0.55615,                0.37288,                0.93897,               0.006337,               0.006337,               0.006337
                     39,                0.61838,                 0.4102,                0.94702,                0.92825,                0.92526,                0.95478,                0.83168,                0.54918,                0.37225,                0.92873,               0.006238,               0.006238,               0.006238
                     40,                0.60854,                0.40132,                0.93902,                 0.9428,                0.91306,                0.95358,                0.83257,                0.54539,                0.36927,                0.92785,               0.006139,               0.006139,               0.006139
                     41,                0.61019,                0.39885,                0.93906,                0.93591,                0.92046,                0.95719,                0.83543,                0.54558,                0.36366,                0.92595,                0.00604,                0.00604,                0.00604
                     42,                 0.6027,                0.39771,                0.93558,                0.93381,                0.92223,                0.95644,                0.83866,                0.53969,                0.36741,                0.92821,               0.005941,               0.005941,               0.005941
                     43,                0.59308,                 0.3889,                0.93448,                 0.9343,                0.92525,                0.95621,                0.83952,                0.53806,                0.35832,                0.92567,               0.005842,               0.005842,               0.005842
                     44,                0.59983,                0.39411,                0.93777,                0.93456,                  0.928,                0.95679,                0.83979,                0.54129,                0.35882,                0.93268,               0.005743,               0.005743,               0.005743
                     45,                0.59338,                0.38527,                0.93362,                0.93111,                0.93489,                  0.959,                0.84456,                0.53384,                0.35542,                0.92327,               0.005644,               0.005644,               0.005644
                     46,                0.58869,                0.38046,                0.92835,                0.93839,                0.92293,                0.95547,                0.83635,                0.53652,                0.36278,                 0.9223,               0.005545,               0.005545,               0.005545
                     47,                0.58157,                0.37255,                  0.926,                0.93449,                0.93374,                0.95579,                0.84242,                0.52922,                 0.3531,                0.92226,               0.005446,               0.005446,               0.005446
                     48,                0.58073,                0.37091,                0.93096,                  0.933,                0.93437,                0.95732,                0.84566,                0.52362,                0.35479,                0.92292,               0.005347,               0.005347,               0.005347
                     49,                0.57404,                0.36595,                0.92617,                 0.9356,                0.92728,                0.95862,                0.84389,                0.53203,                0.35387,                0.92953,               0.005248,               0.005248,               0.005248
                     50,                0.57349,                0.36755,                0.92607,                0.93619,                0.93139,                0.96047,                0.84614,                0.52393,                0.34213,                0.92085,               0.005149,               0.005149,               0.005149
                     51,                0.57249,                 0.3656,                0.92097,                 0.9371,                0.92409,                0.95898,                0.84882,                0.52389,                0.34193,                0.91989,                0.00505,                0.00505,                0.00505
                     52,                0.56787,                0.36037,                0.92349,                0.93826,                0.93145,                0.95906,                0.84766,                0.52491,                0.34415,                0.92685,               0.004951,               0.004951,               0.004951
                     53,                0.56439,                0.36368,                0.92216,                0.94176,                0.92401,                0.95954,                 0.8488,                0.51769,                0.34425,                0.92405,               0.004852,               0.004852,               0.004852
                     54,                0.56146,                0.35552,                0.91883,                0.92931,                0.93194,                0.95695,                0.84667,                0.52199,                0.34192,                0.92246,               0.004753,               0.004753,               0.004753
                     55,                0.55712,                0.35114,                0.91822,                0.94601,                0.92553,                0.96025,                0.85004,                0.51892,                0.33407,                0.92327,               0.004654,               0.004654,               0.004654
